"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"113899/AL";"2020-12-31";"My Porto Loft II B";"S";"2020-12-21";"Apartamento";"2";"2";"0";;"Rua Rua Fernandes Tomás, 832 2º Traseiras";"4000-213";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"My Royal Empire Unipessoal Lda";"Comodatário";"514879092";"Pessoa coletiva";"Portugal";;;"910576648";"Não"
"113898/AL";"2020-12-31";"Romantic Attic (Apartamento 6)";"S";"2021-01-15";"Apartamento";"1";"2";"1";;"Rua Rua Paraíso, 331 2 Sul";"4000-378";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Lovely Return - Unipessoal LDA";"Cessionário";"515393606";"Pessoa coletiva";"Portugal";;;"932473600";"Sim"
"113897/AL";"2020-12-31";"The Hemp ( Apartamento 5 )";"S";"2021-01-15";"Apartamento";"2";"4";"2";;"Rua Rua Paraíso, 331 2 Norte";"4000-378";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Lovely Return - Unipessoal LDA";"Cessionário";"515393606";"Pessoa coletiva";"Portugal";;;"932473600";"Não"
"113896/AL";"2020-12-31";"The One and Only (Flat 1)";"S";"2021-01-15";"Apartamento";"2";"4";"2";;"Rua Rua Paraíso, 331 0 Norte";"4000-378";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Lovely Return - Unipessoal LDA";"Arrendatário";"515393606";"Pessoa coletiva";"Portugal";;;"932473600";"Não"
"113887/AL";"2020-12-30";"BOAVISTA PREMIUM APARTMENT 1";"N";"2020-12-14";"Apartamento";"5";"6";"2";;"Avenida Avenida Boavista, 336 RC D";"4050-113";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"CITY HOSTS, LDA";"Cessionário";"514132817";"Pessoa coletiva";"Portugal";;;"962385552";"Não"
"113866/AL";"2020-12-29";"Crayon Walls 3rd";"S";"2020-12-11";"Apartamento";"2";"3";"1";;"Rua Rua Santo Ildefonso, 399 3º";"4000-471";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Garapantri Lda";"Cessionário";"516002511";"Pessoa coletiva";"Portugal";;;;"Não"
"113865/AL";"2020-12-29";"Historic apartment at Cardosas  -ap 2";"N";"2021-02-01";"Apartamento";"4";"5";"2";;"Rua Rua Trindade Coelho, 42 2 Traseiras";"4050-618";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"The Maphouse Consultadoria e Gestão Lda";"Arrendatário";"515328162";"Pessoa coletiva";"Portugal";;;"913114718";"Não"
"113864/AL";"2020-12-29";"Historic apartment at Cardosas  -ap 1";"N";"2021-02-01";"Apartamento";"4";"5";"2";;"Rua Rua Trindade Coelho, 42 2 F";"4050-618";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"The Maphouse Consultadoria e Gestão Lda";"Arrendatário";"515328162";"Pessoa coletiva";"Portugal";;;"913114718";"Não"
"113863/AL";"2020-12-29";"My Porto Loft II A";"S";"2020-12-14";"Apartamento";"1";"2";"0";;"Rua Rua Fernandes Tomás, 832 2º Frente";"4000-213";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"My Royal Empire Unipessoal Lda";"Comodatário";"514879092";"Pessoa coletiva";"Portugal";;;"910576648";"Não"
"113862/AL";"2020-12-29";"Fabrica 55";"N";"2020-12-25";"Apartamento";"1";"2";"1";;"Rua Rua Fábrica, 55 1 tras";"4050-247";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"GBRM PROJECT LDA";"Proprietário";"513355570";"Pessoa coletiva";"Portugal";"912202841";;"912202841";"Não"
